"chrom","context","reads","av_meth"
"genome_hic_scaffold_22_RagTag","CHH",3794910,3.65068442279742
"genome_hic_scaffold_23_RagTag","CHG",973706,3.84406513287095
"genome_hic_scaffold_23_RagTag","CHH",3066777,3.71081296476315
"genome_hic_scaffold_24_RagTag","CHG",714486,4.08619498699439
"genome_hic_scaffold_24_RagTag","CHH",2178077,3.85383372982279
"genome_hic_scaffold_2_RagTag","CHG",1812239,3.69401642165998
"genome_hic_scaffold_2_RagTag","CHH",5581311,3.59198486735111
"genome_hic_scaffold_3_RagTag","CHG",1491145,3.65624582992912
"genome_hic_scaffold_3_RagTag","CHH",4574186,3.55758415553164
"genome_hic_scaffold_4_RagTag","CHG",1364254,3.67254971017544
"genome_hic_scaffold_4_RagTag","CHH",4144722,3.54707360660361
"genome_hic_scaffold_5_RagTag","CHG",1720313,3.72357529687234
"genome_hic_scaffold_5_RagTag","CHH",5287625,3.60054536311194
"genome_hic_scaffold_6_RagTag","CHG",1668194,3.72207580200142
"genome_hic_scaffold_6_RagTag","CHH",5110289,3.62455963637419
"genome_hic_scaffold_7_RagTag","CHG",1462443,3.79478415594418
"genome_hic_scaffold_7_RagTag","CHH",4454693,3.63576473967951
"genome_hic_scaffold_8_RagTag","CHG",1578284,3.66049405306496
"genome_hic_scaffold_8_RagTag","CHH",4793803,3.55587983802961
"genome_hic_scaffold_9_RagTag","CHG",1645505,3.71730754803093
"genome_hic_scaffold_9_RagTag","CHH",4972047,3.58853948193762
"phage_lambda","CHG",2140,3.82416984213391
"phage_lambda","CHH",3962,4.70206401435836
"phage_lambda","CpG",2052,3.44590726960504
"plasmid_puc19c","CHG",210,6.56363636363636
"plasmid_puc19c","CHH",515,3.11898734177215
"plasmid_puc19c","CpG",240,96.6850828729282
"ptg000052l","CpG",289,57.6068376068376
"ptg000052l_RagTag","CHG",253,11.2197802197802
"ptg000052l_RagTag","CHH",504,12.0384615384615
"ptg000056l","CpG",4322,86.8461775585697
"ptg000056l_RagTag","CHG",12549,6.80647256196558
"ptg000056l_RagTag","CHH",21629,7.42400240024002
"ptg000058l","CpG",1710,85.5949090909091
"ptg000058l_RagTag","CHG",3414,6.61086474501109
"ptg000058l_RagTag","CHH",6408,6.81045025013897
"ptg000064l","CpG",89,71.8524590163934
"ptg000064l_RagTag","CHG",246,6.86274509803922
"ptg000064l_RagTag","CHH",868,7.198127925117
"ptg000065l","CpG",32,93.75
"ptg000065l_RagTag","CHG",17,64.7058823529412
"ptg000065l_RagTag","CHH",33,51.5151515151515
"ptg000067l","CpG",39,66.6666666666667
"ptg000067l_RagTag","CHG",218,2.83018867924528
"ptg000067l_RagTag","CHH",470,7.75862068965517
"ptg000071l","CpG",3758,84.7887130075705
"ptg000071l_RagTag","CHG",6118,5.87663031858029
"ptg000071l_RagTag","CHH",13075,5.12644230769231
"ptg000106l","CpG",384,82.0060975609756
"ptg000106l_RagTag","CHG",487,3.07125307125307
"ptg000106l_RagTag","CHH",1103,4.9097510373444
"ptg000117l","CpG",244,74.3246073298429
"ptg000117l_RagTag","CHG",157,15.4296296296296
"ptg000117l_RagTag","CHH",443,5.25214899713467
"ptg000118l","CpG",53,79.2452830188679
"ptg000118l_RagTag","CHG",29,6.89655172413793
"ptg000118l_RagTag","CHH",66,12.1212121212121
"ptg000121l","CpG",2584,81.6943753111
"ptg000121l_RagTag","CHG",5640,4.70194862710363
"ptg000121l_RagTag","CHH",9859,5.26688344172086
"ptg000131l","CpG",2658,84.7081158044613
"ptg000131l_RagTag","CHG",5194,4.83449101796407
