"chrom","context","total_reads","mean_meth","median_meth","sd_meth"
"ptg000067l_RagTag","CpG",39,66.6666666666667,100,47.7566932940919
"ptg000071l_RagTag","CpG",3758,84.7887130075705,100,33.1756721402527
"ptg000106l_RagTag","CpG",384,82.0060975609756,100,37.3948265324371
"ptg000117l_RagTag","CpG",244,74.3246073298429,100,42.6752655062533
"ptg000118l_RagTag","CpG",53,79.2452830188679,100,40.9431621323894
"ptg000121l_RagTag","CpG",2584,81.6943753111,100,36.9866075312918
"ptg000131l_RagTag","CpG",2658,84.7081158044613,100,34.2584687835022
"ptg000133l_RagTag","CpG",160,64.3410852713178,100,47.2666135018999
"ptg000137l_RagTag","CpG",296,75.4851851851852,100,42.3822857337547
"ptg000139l_RagTag","CpG",55,74.2285714285714,100,38.6789848050103
"ptg000143l_RagTag","CpG",334,85.6808510638298,100,31.8622075911686
"ptg000146l_RagTag","CpG",44,55.5555555555556,75,47.4759755451982
"ptg000147l_RagTag","CpG",69,52.2727272727273,75,49.0663355612813
"ptg000152l_RagTag","CpG",1,0,0,NA
"ptg000156l_RagTag","CpG",9,22.2222222222222,0,44.0958551844098
"ptg000157l_RagTag","CpG",184,50.9090909090909,50,49.5321795108528
"ptg000158l_RagTag","CpG",135,86.5211267605634,100,25.18494967517
"ptg000161l_RagTag","CpG",616,82.976653696498,100,36.0999727269383
"ptg000164l_RagTag","CpG",110,72.4166666666667,100,44.3260668320934
"ptg000165l_RagTag","CpG",654,80.4029574861368,100,39.1033804370856
"ptg000168l_RagTag","CpG",3,0,0,0
"ptg000173l_RagTag","CpG",30,93.3333333333333,100,25.3708131702462
"ptg000175l_RagTag","CpG",409,73.0235294117647,85,32.3779674023748
"ptg000176l_RagTag","CpG",1617,88.4590570719603,100,30.2088511562919
"ptg000179l_RagTag","CpG",132,93.1818181818182,100,25.3017870961078
"ptg000180l_RagTag","CpG",2,100,100,0
"ptg000184l_RagTag","CpG",281,50.1538461538462,50,45.820287638831
"ptg000189l_RagTag","CpG",41,71.0666666666667,100,41.5309882919459
"ptg000192l_RagTag","CpG",27,85.7894736842105,100,32.5432685433621
"ptg000195l_RagTag","CpG",130,77.9166666666667,100,41.4018193351174
"ptg000196l_RagTag","CpG",132,66,100,45.6240440782955
"ptg000199l_RagTag","CpG",148,60.9915966386555,100,47.7490785780863
"ptg000206l_RagTag","CpG",250,87.959595959596,100,31.457946851956
"ptg000213l_RagTag","CpG",8,25,0,46.2910049886276
"ptg000215l_RagTag","CpG",13,61.5384615384615,100,50.6369683541833
"ptg000219l_RagTag","CpG",108,76.1764705882353,100,41.5305901230212
"ptg000220l_RagTag","CpG",11,100,100,0
"ptg000222l_RagTag","CpG",13,55.5555555555556,50,39.0867979985286
"ptg000223l_RagTag","CpG",7,71.4285714285714,100,48.7950036474267
"ptg000224l_RagTag","CpG",293,85.4306930693069,100,33.275536686969
"OR482510.1","CHG",199,1.78048780487805,0,8.9553410371935
"genome_hic_scaffold_10_RagTag","CHG",1536336,3.73783173144989,0,17.9205018616263
"genome_hic_scaffold_11_RagTag","CHG",1327076,3.80839711510156,0,18.096955554186
"genome_hic_scaffold_12_RagTag","CHG",1529467,3.60633869966854,0,17.6022828218088
"genome_hic_scaffold_13_RagTag","CHG",1386159,3.77804244948534,0,18.0218477886949
"genome_hic_scaffold_14_RagTag","CHG",1373739,3.7706797944644,0,18.0156206957782
"genome_hic_scaffold_15_RagTag","CHG",1432565,3.72091204136444,0,17.8758618518558
"genome_hic_scaffold_16_RagTag","CHG",995495,3.93021373913784,0,18.3820520700973
"genome_hic_scaffold_17_RagTag","CHG",1235280,3.85999799566144,0,18.2132959015653
"genome_hic_scaffold_18_RagTag","CHG",1184971,3.92165633684037,0,18.3548069619383
"genome_hic_scaffold_19_RagTag","CHG",1503829,3.71760885169409,0,17.8638343132987
"genome_hic_scaffold_1_RagTag","CHG",1846572,3.77523507736423,0,18.0194358703457
"genome_hic_scaffold_20_RagTag","CHG",1412128,3.72193398588664,0,17.9001577527613
"genome_hic_scaffold_21_RagTag","CHG",1115198,3.7459144940393,0,17.9592735458867
"genome_hic_scaffold_22_RagTag","CHG",1235488,3.80507568257539,0,18.06324132158
"genome_hic_scaffold_23_RagTag","CHG",973706,3.84406513287095,0,18.1705706414584
"genome_hic_scaffold_24_RagTag","CHG",714486,4.08619498699439,0,18.7377567126277
"genome_hic_scaffold_2_RagTag","CHG",1812239,3.69401642165998,0,17.8071368324613
"genome_hic_scaffold_3_RagTag","CHG",1491145,3.65624582992912,0,17.7344732040747
"genome_hic_scaffold_4_RagTag","CHG",1364254,3.67254971017544,0,17.7562440455042
"genome_hic_scaffold_5_RagTag","CHG",1720313,3.72357529687234,0,17.9086012132891
"genome_hic_scaffold_6_RagTag","CHG",1668194,3.72207580200142,0,17.8870396390786
"genome_hic_scaffold_7_RagTag","CHG",1462443,3.79478415594418,0,18.0320122475609
"genome_hic_scaffold_8_RagTag","CHG",1578284,3.66049405306496,0,17.7488710640942
"genome_hic_scaffold_9_RagTag","CHG",1645505,3.71730754803093,0,17.8603244776819
"phage_lambda","CHG",2140,3.82416984213391,0,18.2836553146828
"plasmid_puc19c","CHG",210,6.56363636363636,0,21.5950228313488
"ptg000052l_RagTag","CHG",253,11.2197802197802,0,29.3059729208919
"ptg000056l_RagTag","CHG",12549,6.80647256196558,0,23.3983037971231
"ptg000058l_RagTag","CHG",3414,6.61086474501109,0,22.9656276197523
"ptg000064l_RagTag","CHG",246,6.86274509803922,0,25.344149144834
"ptg000065l_RagTag","CHG",17,64.7058823529412,100,49.2592183071889
"ptg000067l_RagTag","CHG",218,2.83018867924528,0,16.622642981183
"ptg000071l_RagTag","CHG",6118,5.87663031858029,0,22.2227034611422
"ptg000106l_RagTag","CHG",487,3.07125307125307,0,16.7317972308335
"ptg000117l_RagTag","CHG",157,15.4296296296296,0,35.7696904840465
"ptg000118l_RagTag","CHG",29,6.89655172413793,0,25.7880714777564
"ptg000121l_RagTag","CHG",5640,4.70194862710363,0,20.3248742794251
"ptg000131l_RagTag","CHG",5194,4.83449101796407,0,20.5375451369528
"ptg000133l_RagTag","CHG",388,6.84357541899441,0,25.1456953577289
"ptg000137l_RagTag","CHG",845,5.12143928035982,0,21.6504847201178
"ptg000139l_RagTag","CHG",111,13.9876543209877,0,34.5038019018051
"ptg000143l_RagTag","CHG",614,6.89981096408318,0,24.898113974951
"ptg000146l_RagTag","CHG",43,10.8108108108108,0,31.4800093867678
"ptg000147l_RagTag","CHG",97,17.2571428571429,0,35.532669480551
"ptg000152l_RagTag","CHG",4,0,0,0
"ptg000156l_RagTag","CHG",14,0,0,0
"ptg000157l_RagTag","CHG",425,2.89473684210526,0,16.3903399596802
"ptg000158l_RagTag","CHG",94,35.6938775510204,0,45.761248199046
